infinitive,English Translation,Irregular,present 1p-s,present 2p-s,present 3p-s,present 1p-p,present 2p-p,present 3p-p,past perfect 1p-s,past perfect 2p-s,past perfect 3p-s,past perfect 1p-p,past perfect 2p-p,past perfect 3p-p,imperfect 1p-s,imperfect 2p-s,imperfect 3p-s,imperfect 1p-p,imperfect 2p-p,imperfect 3p-p,simple future 1p-s,simple future 2p-s,simple future 3p-s,simple future 1p-p,simple future 2p-p,simple future 3p-p,conditional 1p-s,conditional 2p-s,conditional 3p-s,conditional 1p-p,conditional 2p-p,pluperfect 1p-s,pluperfect 2p-s,pluperfect 3p-s,pluperfect 1p-p,pluperfect 2p-p,pluperfect 3p-p,conditional 3p-p,subjunctive 1p-s,subjunctive 2p-s,subjunctive 3p-s,subjunctive 1p-p,subjunctive 2p-p,subjunctive 3p-p,past conditional 1p-s,past conditional 2p-s,past conditional 3p-s,past conditional 1p-p,past conditional 2p-p,past conditional 3p-p,future perfect 1p-s,future perfect 2p-s,future perfect 3p-s,future perfect 1p-p,future perfect 2p-p,future perfect 3p-p,imperative 1p-s,imperative 2p-s,imperative 3p-s,imperative 1p-p,imperative 2p-p,imperative 3p-p,past subjunctive 1p-s,past subjunctive 2p-s,past subjunctive 3p-s,past subjunctive 1p-p,past subjunctive 2p-p,past subjunctive 3p-p,imperfect subjunctive 1p-s,imperfect subjunctive 2p-s,imperfect subjunctive 3p-s,imperfect subjunctive 1p-p,imperfect subjunctive 2p-p,imperfect subjunctive 3p-p,pluperfect subjunctive 1p-s,pluperfect subjunctive 2p-s,pluperfect subjunctive 3p-s,pluperfect subjunctive 1p-p,pluperfect subjunctive 2p-p,pluperfect subjunctive 3p-p,past imperative 1p-s,past imperative 2p-s,past imperative 3p-s,past imperative 1p-p,past imperative 2p-p,past imperative 3p-p,past anterior 1p-s,past anterior 2p-s,past anterior 3p-s,past anterior 1p-p,past anterior 2p-p,past anterior 3p-p,simple past 1p-s,simple past 2p-s,simple past 3p-s,simple past 1p-p,simple past 2p-p,simple past 3p-p,gerund
tonner,to thunder,FALSE,tonne,tonnes,tonne,tonnons,tonnez,tonnent,ai tonné,as tonné,a tonné,avons tonné,avez tonné,ont tonné,tonnais,tonnais,tonnait,tonnions,tonniez,tonnaient,tonnerai,tonneras,tonnera,tonnerons,tonnerez,tonneront,tonnerais,tonnerais,tonnerait,tonnerions,tonneriez,avais tonné,avais tonné,avait tonné,avions tonné,aviez tonné,avaient tonné,tonneraient,tonne,tonnes,tonne,tonnions,tonniez,tonnent,aurais tonné,aurais tonné,aurait tonné,aurions tonné,auriez tonné,auraient tonné,aurai tonné,auras tonné,aura tonné,aurons tonné,aurez tonné,auront tonné,N/A,tonne,N/A,tonnons,tonnez,N/A,aie tonné,aies tonné,ait tonné,ayons tonné,ayez tonné,aient tonné,tonnasse,tonnasses,tonnât,tonnassions,tonnassiez,tonnassent,eusse tonné,eusses tonné,eût tonné,eussions tonné,eussiez tonné,eussent tonné,N/A,aie tonné,N/A,ayons tonné,ayez tonné,N/A,eus tonné,eus tonné,eut tonné,eûmes tonné,eûtes tonné,eurent tonné,tonnai,tonnas,tonna,tonnâmes,tonnâtes,tonnèrent,tonnant
terminer,to end,FALSE,termine,termines,termine,terminons,terminez,terminent,ai terminé,as terminé,a terminé,avons terminé,avez terminé,ont terminé,terminais,terminais,terminait,terminions,terminiez,terminaient,terminerai,termineras,terminera,terminerons,terminerez,termineront,terminerais,terminerais,terminerait,terminerions,termineriez,avais terminé,avais terminé,avait terminé,avions terminé,aviez terminé,avaient terminé,termineraient,termine,termines,termine,terminions,terminiez,terminent,aurais terminé,aurais terminé,aurait terminé,aurions terminé,auriez terminé,auraient terminé,aurai terminé,auras terminé,aura terminé,aurons terminé,aurez terminé,auront terminé,N/A,termine,N/A,terminons,terminez,N/A,aie terminé,aies terminé,ait terminé,ayons terminé,ayez terminé,aient terminé,terminasse,terminasses,terminât,terminassions,terminassiez,terminassent,eusse terminé,eusses terminé,eût terminé,eussions terminé,eussiez terminé,eussent terminé,N/A,aie terminé,N/A,ayons terminé,ayez terminé,N/A,eus terminé,eus terminé,eut terminé,eûmes terminé,eûtes terminé,eurent terminé,terminai,terminas,termina,terminâmes,terminâtes,terminèrent,terminant
transcrire,to transcribe,TRUE,transcris,transcris,transcrit,transcrivons,transcrivez,transcrivent,ai transcrit,as transcrit,a transcrit,avons transcrit,avez transcrit,ont transcrit,transcrivais,transcrivais,transcrivait,transcrivions,transcriviez,transcrivaient,transcrirai,transcriras,transcrira,transcrirons,transcrirez,transcriront,transcrirais,transcrirais,transcrirait,transcririons,transcririez,avais transcrit,avais transcrit,avait transcrit,avions transcrit,aviez transcrit,avaient transcrit,transcriraient,transcrive,transcrives,transcrive,transcrivions,transcriviez,transcrivent,aurais transcrit,aurais transcrit,aurait transcrit,aurions transcrit,auriez transcrit,auraient transcrit,aurai transcrit,auras transcrit,aura transcrit,aurons transcrit,aurez transcrit,auront transcrit,N/A,transcris,N/A,transcrivons,transcrivez,N/A,aie transcrit,aies transcrit,ait transcrit,ayons transcrit,ayez transcrit,aient transcrit,transcrivisse,transcrivisses,transcrivît,transcrivissions,transcrivissiez,transcrivissent,eusse transcrit,eusses transcrit,eût transcrit,eussions transcrit,eussiez transcrit,eussent transcrit,N/A,aie transcrit,N/A,ayons transcrit,ayez transcrit,N/A,eus transcrit,eus transcrit,eut transcrit,eûmes transcrit,eûtes transcrit,eurent transcrit,transcrivis,transcrivis,transcrivit,transcrivîmes,transcrivîtes,transcrivirent,transcrivant
téléphoner,to call,FALSE,téléphone,téléphones,téléphone,téléphonons,téléphonez,téléphonent,ai téléphoné,as téléphoné,a téléphoné,avons téléphoné,avez téléphoné,ont téléphoné,téléphonais,téléphonais,téléphonait,téléphonions,téléphoniez,téléphonaient,téléphonerai,téléphoneras,téléphonera,téléphonerons,téléphonerez,téléphoneront,téléphonerais,téléphonerais,téléphonerait,téléphonerions,téléphoneriez,avais téléphoné,avais téléphoné,avait téléphoné,avions téléphoné,aviez téléphoné,avaient téléphoné,téléphoneraient,téléphone,téléphones,téléphone,téléphonions,téléphoniez,téléphonent,aurais téléphoné,aurais téléphoné,aurait téléphoné,aurions téléphoné,auriez téléphoné,auraient téléphoné,aurai téléphoné,auras téléphoné,aura téléphoné,aurons téléphoné,aurez téléphoné,auront téléphoné,N/A,téléphone,N/A,téléphonons,téléphonez,N/A,aie téléphoné,aies téléphoné,ait téléphoné,ayons téléphoné,ayez téléphoné,aient téléphoné,téléphonasse,téléphonasses,téléphonât,téléphonassions,téléphonassiez,téléphonassent,eusse téléphoné,eusses téléphoné,eût téléphoné,eussions téléphoné,eussiez téléphoné,eussent téléphoné,N/A,aie téléphoné,N/A,ayons téléphoné,ayez téléphoné,N/A,eus téléphoné,eus téléphoné,eut téléphoné,eûmes téléphoné,eûtes téléphoné,eurent téléphoné,téléphonai,téléphonas,téléphona,téléphonâmes,téléphonâtes,téléphonèrent,téléphonant
traduire,to translate,TRUE,traduis,traduis,traduit,traduisons,traduisez,traduisent,ai traduit,as traduit,a traduit,avons traduit,avez traduit,ont traduit,traduisais,traduisais,traduisait,traduisions,traduisiez,traduisaient,traduirai,traduiras,traduira,traduirons,traduirez,traduiront,traduirais,traduirais,traduirait,traduirions,traduiriez,avais traduit,avais traduit,avait traduit,avions traduit,aviez traduit,avaient traduit,traduiraient,traduise,traduises,traduise,traduisions,traduisiez,traduisent,aurais traduit,aurais traduit,aurait traduit,aurions traduit,auriez traduit,auraient traduit,aurai traduit,auras traduit,aura traduit,aurons traduit,aurez traduit,auront traduit,N/A,traduis,N/A,traduisons,traduisez,N/A,aie traduit,aies traduit,ait traduit,ayons traduit,ayez traduit,aient traduit,traduisisse,traduisisses,traduisît,traduisissions,traduisissiez,traduisissent,eusse traduit,eusses traduit,eût traduit,eussions traduit,eussiez traduit,eussent traduit,N/A,aie traduit,N/A,ayons traduit,ayez traduit,N/A,eus traduit,eus traduit,eut traduit,eûmes traduit,eûtes traduit,eurent traduit,traduisis,traduisis,traduisit,traduisîmes,traduisîtes,traduisirent,traduisant
tondre,to shear/mow,TRUE,tonds,tonds,tond,tondons,tondez,tondent,ai tondu,as tondu,a tondu,avons tondu,avez tondu,ont tondu,tondais,tondais,tondait,tondions,tondiez,tondaient,tondrai,tondras,tondra,tondrons,tondrez,tondront,tondrais,tondrais,tondrait,tondrions,tondriez,avais tondu,avais tondu,avait tondu,avions tondu,aviez tondu,avaient tondu,tondraient,tonde,tondes,tonde,tondions,tondiez,tondent,aurais tondu,aurais tondu,aurait tondu,aurions tondu,auriez tondu,auraient tondu,aurai tondu,auras tondu,aura tondu,aurons tondu,aurez tondu,auront tondu,N/A,tonds,N/A,tondons,tondez,N/A,aie tondu,aies tondu,ait tondu,ayons tondu,ayez tondu,aient tondu,tondisse,tondisses,tondît,tondissions,tondissiez,tondissent,eusse tondu,eusses tondu,eût tondu,eussions tondu,eussiez tondu,eussent tondu,N/A,aie tondu,N/A,ayons tondu,ayez tondu,N/A,eus tondu,eus tondu,eut tondu,eûmes tondu,eûtes tondu,eurent tondu,tondis,tondis,tondit,tondîmes,tondîtes,tondirent,tondant
trahir,to betray,FALSE,trahis,trahis,trahit,trahissons,trahissez,trahissent,ai trahi,as trahi,a trahi,avons trahi,avez trahi,ont trahi,trahissais,trahissais,trahissait,trahissions,trahissiez,trahissaient,trahirai,trahiras,trahira,trahirons,trahirez,trahiront,trahirais,trahirais,trahirait,trahirions,trahiriez,avais trahi,avais trahi,avait trahi,avions trahi,aviez trahi,avaient trahi,trahiraient,trahisse,trahisses,trahisse,trahissions,trahissiez,trahissent,aurais trahi,aurais trahi,aurait trahi,aurions trahi,auriez trahi,auraient trahi,aurai trahi,auras trahi,aura trahi,aurons trahi,aurez trahi,auront trahi,N/A,trahis,N/A,trahissons,trahissez,N/A,aie trahi,aies trahi,ait trahi,ayons trahi,ayez trahi,aient trahi,trahisse,trahisses,trahît,trahissions,trahissiez,trahissent,eusse trahi,eusses trahi,eût trahi,eussions trahi,eussiez trahi,eussent trahi,N/A,aie trahi,N/A,ayons trahi,ayez trahi,N/A,eus trahi,eus trahi,eut trahi,eûmes trahi,eûtes trahi,eurent trahi,trahis,trahis,trahit,trahîmes,trahîtes,trahirent,trahissant
susciter,to cause,FALSE,suscite,suscites,suscite,suscitons,suscitez,suscitent,ai suscité,as suscité,a suscité,avons suscité,avez suscité,ont suscité,suscitais,suscitais,suscitait,suscitions,suscitiez,suscitaient,susciterai,susciteras,suscitera,susciterons,susciterez,susciteront,susciterais,susciterais,susciterait,susciterions,susciteriez,avais suscité,avais suscité,avait suscité,avions suscité,aviez suscité,avaient suscité,susciteraient,suscite,suscites,suscite,suscitions,suscitiez,suscitent,aurais suscité,aurais suscité,aurait suscité,aurions suscité,auriez suscité,auraient suscité,aurai suscité,auras suscité,aura suscité,aurons suscité,aurez suscité,auront suscité,N/A,suscite,N/A,suscitons,suscitez,N/A,aie suscité,aies suscité,ait suscité,ayons suscité,ayez suscité,aient suscité,suscitasse,suscitasses,suscitât,suscitassions,suscitassiez,suscitassent,eusse suscité,eusses suscité,eût suscité,eussions suscité,eussiez suscité,eussent suscité,N/A,aie suscité,N/A,ayons suscité,ayez suscité,N/A,eus suscité,eus suscité,eut suscité,eûmes suscité,eûtes suscité,eurent suscité,suscitai,suscitas,suscita,suscitâmes,suscitâtes,suscitèrent,suscitant
teindre,to dye,TRUE,teins,teins,teint,teignons,teignez,teignent,ai teint,as teint,a teint,avons teint,avez teint,ont teint,teignais,teignais,teignait,teignions,teigniez,teignaient,teindrai,teindras,teindra,teindrons,teindrez,teindront,teindrais,teindrais,teindrait,teindrions,teindriez,avais teint,avais teint,avait teint,avions teint,aviez teint,avaient teint,teindraient,teigne,teignes,teigne,teignions,teigniez,teignent,aurais teint,aurais teint,aurait teint,aurions teint,auriez teint,auraient teint,aurai teint,auras teint,aura teint,aurons teint,aurez teint,auront teint,N/A,teins,N/A,teignons,teignez,N/A,aie teint,aies teint,ait teint,ayons teint,ayez teint,aient teint,teignisse,teignisses,teignît,teignissions,teignissiez,teignissent,eusse teint,eusses teint,eût teint,eussions teint,eussiez teint,eussent teint,N/A,aie teint,N/A,ayons teint,ayez teint,N/A,eus teint,eus teint,eut teint,eûmes teint,eûtes teint,eurent teint,teignis,teignis,teignit,teignîmes,teignîtes,teignirent,teignant
tapoter,to tap,FALSE,tapote,tapotes,tapote,tapotons,tapotez,tapotent,ai tapoté,as tapoté,a tapoté,avons tapoté,avez tapoté,ont tapoté,tapotais,tapotais,tapotait,tapotions,tapotiez,tapotaient,tapoterai,tapoteras,tapotera,tapoterons,tapoterez,tapoteront,tapoterais,tapoterais,tapoterait,tapoterions,tapoteriez,avais tapoté,avais tapoté,avait tapoté,avions tapoté,aviez tapoté,avaient tapoté,tapoteraient,tapote,tapotes,tapote,tapotions,tapotiez,tapotent,aurais tapoté,aurais tapoté,aurait tapoté,aurions tapoté,auriez tapoté,auraient tapoté,aurai tapoté,auras tapoté,aura tapoté,aurons tapoté,aurez tapoté,auront tapoté,N/A,tapote,N/A,tapotons,tapotez,N/A,aie tapoté,aies tapoté,ait tapoté,ayons tapoté,ayez tapoté,aient tapoté,tapotasse,tapotasses,tapotât,tapotassions,tapotassiez,tapotassent,eusse tapoté,eusses tapoté,eût tapoté,eussions tapoté,eussiez tapoté,eussent tapoté,N/A,aie tapoté,N/A,ayons tapoté,ayez tapoté,N/A,eus tapoté,eus tapoté,eut tapoté,eûmes tapoté,eûtes tapoté,eurent tapoté,tapotai,tapotas,tapota,tapotâmes,tapotâtes,tapotèrent,tapotant
verser,to pour,FALSE,verse,verses,verse,versons,versez,versent,ai versé,as versé,a versé,avons versé,avez versé,ont versé,versais,versais,versait,versions,versiez,versaient,verserai,verseras,versera,verserons,verserez,verseront,verserais,verserais,verserait,verserions,verseriez,avais versé,avais versé,avait versé,avions versé,aviez versé,avaient versé,verseraient,verse,verses,verse,versions,versiez,versent,aurais versé,aurais versé,aurait versé,aurions versé,auriez versé,auraient versé,aurai versé,auras versé,aura versé,aurons versé,aurez versé,auront versé,N/A,verse,N/A,versons,versez,N/A,aie versé,aies versé,ait versé,ayons versé,ayez versé,aient versé,versasse,versasses,versât,versassions,versassiez,versassent,eusse versé,eusses versé,eût versé,eussions versé,eussiez versé,eussent versé,N/A,aie versé,N/A,ayons versé,ayez versé,N/A,eus versé,eus versé,eut versé,eûmes versé,eûtes versé,eurent versé,versai,versas,versa,versâmes,versâtes,versèrent,versant
unifier,to unify,FALSE,unifie,unifies,unifie,unifions,unifiez,unifient,ai unifié,as unifié,a unifié,avons unifié,avez unifié,ont unifié,unifiais,unifiais,unifiait,unifiions,unifiiez,unifiaient,unifierai,unifieras,unifiera,unifierons,unifierez,unifieront,unifierais,unifierais,unifierait,unifierions,unifieriez,avais unifié,avais unifié,avait unifié,avions unifié,aviez unifié,avaient unifié,unifieraient,unifie,unifies,unifie,unifiions,unifiiez,unifient,aurais unifié,aurais unifié,aurait unifié,aurions unifié,auriez unifié,auraient unifié,aurai unifié,auras unifié,aura unifié,aurons unifié,aurez unifié,auront unifié,N/A,unifie,N/A,unifions,unifiez,N/A,aie unifié,aies unifié,ait unifié,ayons unifié,ayez unifié,aient unifié,unifiasse,unifiasses,unifiât,unifiassions,unifiassiez,unifiassent,eusse unifié,eusses unifié,eût unifié,eussions unifié,eussiez unifié,eussent unifié,N/A,aie unifié,N/A,ayons unifié,ayez unifié,N/A,eus unifié,eus unifié,eut unifié,eûmes unifié,eûtes unifié,eurent unifié,unifiai,unifias,unifia,unifiâmes,unifiâtes,unifièrent,unifiant
tricher,to trick/cheat,FALSE,triche,triches,triche,trichons,trichez,trichent,ai triché,as triché,a triché,avons triché,avez triché,ont triché,trichais,trichais,trichait,trichions,trichiez,trichaient,tricherai,tricheras,trichera,tricherons,tricherez,tricheront,tricherais,tricherais,tricherait,tricherions,tricheriez,avais triché,avais triché,avait triché,avions triché,aviez triché,avaient triché,tricheraient,triche,triches,triche,trichions,trichiez,trichent,aurais triché,aurais triché,aurait triché,aurions triché,auriez triché,auraient triché,aurai triché,auras triché,aura triché,aurons triché,aurez triché,auront triché,N/A,triche,N/A,trichons,trichez,N/A,aie triché,aies triché,ait triché,ayons triché,ayez triché,aient triché,trichasse,trichasses,trichât,trichassions,trichassiez,trichassent,eusse triché,eusses triché,eût triché,eussions triché,eussiez triché,eussent triché,N/A,aie triché,N/A,ayons triché,ayez triché,N/A,eus triché,eus triché,eut triché,eûmes triché,eûtes triché,eurent triché,trichai,trichas,tricha,trichâmes,trichâtes,trichèrent,trichant
vêtir,to clothe,TRUE,vêts,vêts,vêt,vêtions,vêtez,vêtent,ai vêtu,as vêtu,a vêtu,avons vêtu,avez vêtu,ont vêtu,vêtais,vêtais,vêtait,vêtions,vêtiez,vêtaient,vêtirai,vêtiras,vêtira,vêtirons,vêtirez,vêtiront,vêtirais,vêtirais,vêtirait,vêtirions,vêtiriez,avais vêtu,avais vêtu,avait vêtu,avions vêtu,aviez vêtu,avaient vêtu,vêtiraient,vête,vêtes,vête,vêtions,vêtiez,vêtent,aurais vêtu,aurais vêtu,aurait vêtu,aurions vêtu,auriez vêtu,auraient vêtu,aurai vêtu,auras vêtu,aura vêtu,aurons vêtu,aurez vêtu,auront vêtu,N/A,vêts,N/A,vêtons,vêtez,N/A,aie vêtu,aies vêtu,ait vêtu,ayons vêtu,ayez vêtu,aient vêtu,vêtisse,vêtisses,vêtît,vêtissions,vêtissiez,vêtissent,eusse vêtu,eusses vêtu,eût vêtu,eussions vêtu,eussiez vêtu,eussent vêtu,N/A,aie vêtu,N/A,ayons vêtu,ayez vêtu,N/A,eus vêtu,eus vêtu,eut vêtu,eûmes vêtu,eûtes vêtu,eurent vêtu,vêtis,vêtis,vêtit,vêtîmes,vêtîtes,vêtirent,vêtant
voter,to vote,FALSE,vote,votes,vote,votons,votez,votent,ai voté,as voté,a voté,avons voté,avez voté,ont voté,votais,votais,votait,votions,votiez,votaient,voterai,voteras,votera,voterons,voterez,voteront,voterais,voterais,voterait,voterions,voteriez,avais voté,avais voté,avait voté,avions voté,aviez voté,avaient voté,voteraient,vote,votes,vote,votions,votiez,votent,aurais voté,aurais voté,aurait voté,aurions voté,auriez voté,auraient voté,aurai voté,auras voté,aura voté,aurons voté,aurez voté,auront voté,N/A,vote,N/A,votons,votez,N/A,aie voté,aies voté,ait voté,ayons voté,ayez voté,aient voté,votasse,votasses,votât,votassions,votassiez,votassent,eusse voté,eusses voté,eût voté,eussions voté,eussiez voté,eussent voté,N/A,aie voté,N/A,ayons voté,ayez voté,N/A,eus voté,eus voté,eut voté,eûmes voté,eûtes voté,eurent voté,votai,votas,vota,votâmes,votâtes,votèrent,votant
voir,to see,TRUE,vois,vois,voit,voyons,voyez,voient,ai vu,as vu,a vu,avons vu,avez vu,ont vu,voyais,voyais,voyait,voyions,voyiez,voyaient,verrai,verras,verra,verrons,verrez,verront,verrais,verrais,verrait,verrions,verriez,avais vu,avais vu,avait vu,avions vu,aviez vu,avaient vu,verraient,voie,voies,voie,voyions,voyiez,voient,aurais vu,aurais vu,aurait vu,aurions vu,auriez vu,auraient vu,aurai vu,auras vu,aura vu,aurons vu,aurez vu,auront vu,N/A,vois,N/A,voyons,voyez,N/A,aie vu,aies vu,ait vu,ayons vu,ayez vu,aient vu,visse,visses,vît,vissions,vissiez,vissent,eusse vu,eusses vu,eût vu,eussions vu,eussiez vu,eussent vu,N/A,aie vu,N/A,ayons vu,ayez vu,N/A,eus vu,eus vu,eut vu,eûmes vu,eûtes vu,eurent vu,vis,vis,vit,vîmes,vîtes,virent,voyant
viser,to aim,FALSE,vise,vises,vise,visons,visez,visent,ai visé,as visé,a visé,avons visé,avez visé,ont visé,visais,visais,visait,visions,visiez,visaient,viserai,viseras,visera,viserons,viserez,viseront,viserais,viserais,viserait,viserions,viseriez,avais visé,avais visé,avait visé,avions visé,aviez visé,avaient visé,viseraient,vise,vises,vise,visions,visiez,visent,aurais visé,aurais visé,aurait visé,aurions visé,auriez visé,auraient visé,aurai visé,auras visé,aura visé,aurons visé,aurez visé,auront visé,N/A,vise,N/A,visons,visez,N/A,aie visé,aies visé,ait visé,ayons visé,ayez visé,aient visé,visasse,visasses,visât,visassions,visassiez,visassent,eusse visé,eusses visé,eût visé,eussions visé,eussiez visé,eussent visé,N/A,aie visé,N/A,ayons visé,ayez visé,N/A,eus visé,eus visé,eut visé,eûmes visé,eûtes visé,eurent visé,visai,visas,visa,visâmes,visâtes,visèrent,visant
trouver,to find,FALSE,trouve,trouves,trouve,trouvons,trouvez,trouvent,ai trouvé,as trouvé,a trouvé,avons trouvé,avez trouvé,ont trouvé,trouvais,trouvais,trouvait,trouvions,trouviez,trouvaient,trouverai,trouveras,trouvera,trouverons,trouverez,trouveront,trouverais,trouverais,trouverait,trouverions,trouveriez,avais trouvé,avais trouvé,avait trouvé,avions trouvé,aviez trouvé,avaient trouvé,trouveraient,trouve,trouves,trouve,trouvions,trouviez,trouvent,aurais trouvé,aurais trouvé,aurait trouvé,aurions trouvé,auriez trouvé,auraient trouvé,aurai trouvé,auras trouvé,aura trouvé,aurons trouvé,aurez trouvé,auront trouvé,N/A,trouve,N/A,trouvons,trouvez,N/A,aie trouvé,aies trouvé,ait trouvé,ayons trouvé,ayez trouvé,aient trouvé,trouvasse,trouvasses,trouvât,trouvassions,trouvassiez,trouvassent,eusse trouvé,eusses trouvé,eût trouvé,eussions trouvé,eussiez trouvé,eussent trouvé,N/A,aie trouvé,N/A,ayons trouvé,ayez trouvé,N/A,eus trouvé,eus trouvé,eut trouvé,eûmes trouvé,eûtes trouvé,eurent trouvé,trouvai,trouvas,trouva,trouvâmes,trouvâtes,trouvèrent,trouvant
